geoid,name,B06011000.5,"B06011000.5, Error",B06011001,"B06011001, Error",B06011002,"B06011002, Error",B06011003,"B06011003, Error",B06011004,"B06011004, Error",B06011005,"B06011005, Error",,
86000US91335,91335,,,22834,1073,21901,1688,34301,4576,38681,11292,21352,971,,
86000US91340,91340,,,20468,1085,22345,2035,17435,4717,40185,28694,19026,1349,,
86000US91342,91342,,,23083,827,22337,1488,31308,3044,22679,8524,22416,810,,
86000US91343,91343,,,22045,856,23716,2308,32410,2830,39950,23167,19635,782,,
86000US91344,91344,,,31003,1566,29335,3920,35819,3198,49375,63018,29106,3811,,
86000US91345,91345,,,26438,1247,27076,3330,34609,5198,13661,19253,24612,2399,,
86000US91352,91352,,,20401,773,18667,2158,30208,7339,37750,33866,20193,947,,
86000US91356,91356,,,33953,2884,28611,5107,45589,3864,33958,29715,30614,6362,,
86000US91364,91364,,,42628,2774,42027,3494,50719,6796,103409,62162,36639,2727,,
86000US91367,91367,,,44314,3022,39448,3701,53127,3436,21964,7587,46173,4534,,
86000US91371,91371,,,0,0,0,0,0,0,0,0,0,0,,
86000US91401,91401,,,23575,1298,24528,2217,37223,3664,25395,11772,19172,1326,,
86000US91402,91402,,,18537,713,16513,1477,20595,5268,20507,7951,18884,744,,
86000US91403,91403,,,42963,2908,40377,4180,55050,4224,49688,10225,34744,4545,,
86000US91405,91405,,,19103,900,17205,2152,30225,5413,22056,8752,18081,929,,
86000US91406,91406,,,22518,1228,25727,1555,32579,5294,28929,26124,18731,1946,,
86000US91411,91411,,,22996,1975,23990,3913,33371,4157,37850,18882,19628,1886,,
86000US91423,91423,,,43672,2227,42202,2462,50098,3494,72969,43874,35231,3730,,
86000US91436,91436,,,61464,5405,60726,9805,66535,10633,75329,64157,57949,16131,,
86000US91501,91501,,,28912,3137,31009,4627,31189,6826,44375,33840,26158,4180,,
86000US91504,91504,,,33730,2440,34057,4102,45074,6379,48667,38622,28765,3513,,
86000US91505,91505,,,40243,2049,40691,4312,43396,2266,42738,20748,35726,3749,,
86000US91506,91506,,,38298,3582,33914,6027,44300,10445,69545,43300,30886,9383,,
86000US91601,91601,,,25933,1242,29615,4240,35000,3599,42778,38843,20425,1545,,
86000US91602,91602,,,39311,4016,38308,8387,42051,4924,21250,5192,34952,9553,,
86000US91604,91604,,,53286,2403,51823,3184,54082,3982,43875,71451,54848,10706,,
86000US91605,91605,,,18783,729,16411,1231,23005,2229,20000,15190,19032,945,,
86000US91606,91606,,,20210,917,18300,2069,28314,3414,24048,13684,18694,1303,,
86000US91607,91607,,,30460,1833,31073,3101,35550,2955,34207,23923,24379,2999,,
86000US91608,91608,,,0,0,0,0,0,0,0,0,0,0,,
86000US91754,91754,,,25290,1694,32579,3097,27365,6942,20250,16695,21903,2081,,
86000US91801,91801,,,24393,1601,29452,3408,33409,6710,29722,13240,20905,1157,,
86000US91803,91803,,,23971,1446,26699,2891,28398,7563,45714,29712,21134,1407,,
86000US93063,93063,,,35657,1630,34328,2296,41769,1958,32500,12806,31813,3093,,
