OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
294,1505,9dab0546-6516-418e-8911-8288f146595b,0,4,2,0,9.836066,0.346154,5357.378087,19,6,0,1
295,1943,47d88ab5-e2c2-4ec4-9ee2-97cfb01afb23,0,11,2,1,18.032787,0.634615,3639.657892,39,11,0,1
296,1446,9e954926-7414-4248-9d91-97db1bc051b1,2,4,1,1,11.47541,0.403846,4317.813959,20,5,2,1
297,408,51d4b1d5-06cd-4a50-83fa-6094a7c7a440,6,15,3,4,29.508197,1.038462,2587.836044,18,12,6,3
298,2177,5b05e574-08f5-4da6-b7a6-a03a1029e1ee,2,4,0,0,8.196721,0.288462,8187.320448,55,3,2,1
299,1506,467becdb-1685-4d81-86d7-9034b1485dbf,0,13,8,0,24.590164,0.865385,4696.858208,8,15,0,1
300,1944,c08d00d9-2005-4dc7-a4a6-3e1057e357b2,1,9,1,0,16.393443,0.576923,3895.620382,25,9,1,1
301,1945,fdd1d09c-6b0c-4938-9c33-5f2d53a7cbb9,1,7,1,1,14.754098,0.519231,1426.599895,17,8,1,1
302,409,f9602ae9-2ab9-456b-ad8b-0b7a19b9885b,1,15,0,0,24.590164,0.865385,4865.984018,24,14,1,3
303,217,831b3627-48cb-4422-96c5-da7ad31dd868,0,8,6,1,21.311475,0.75,3400.868013,27,13,0,1
304,1449,350920a6-e6b4-4e9d-ba87-c2c2c97f8cdc,0,4,1,1,8.196721,0.288462,3728.159314,33,5,0,1
305,1508,2b8f4a81-53c3-4404-9799-2c2ba5dad5ce,0,3,0,0,4.918033,0.173077,2033.69946,7,3,0,1
306,541,dd75feaf-ab6f-43cd-9f75-6c212ba13ee8,0,3,0,0,4.918033,0.173077,4364.459058,32,3,0,1
307,1183,734e1aeb-8d4a-4b7c-914a-904b1eed937d,1,11,10,3,27.868852,0.980769,4009.607421,24,16,1,1
308,411,bf87f9e4-4ec8-40cd-ab88-b5035ee10bf2,3,5,1,4,9.836066,0.346154,221.290608,8,3,3,1
309,144,4c421495-08c6-45dd-a389-914e6bb43dac,0,0,0,0,0,0,209.360034,,,0,1
310,1951,39bee002-fa7e-4d29-ba13-cc41f89e2451,1,3,0,0,4.918033,0.173077,797.715631,11,2,1,1
